date,item,store,price,url
2026-05-26,Potato,Consum,1.90,https://tienda.consum.es/es/p/patata-seleccion-nueva-de-espana/56911
2026-05-26,Sweet potato,Consum,3.75,https://tienda.consum.es/es/p/boniato-rojo/179481
2026-05-26,Onion,Consum,1.79,https://tienda.consum.es/es/p/cebolla-seca-malla-1-kg/76018
2026-05-26,Carrot,Consum,1.20,https://tienda.consum.es/es/p/zanahoria-de-mesa-bolsa/4501508
2026-05-26,Bell pepper,Consum,2.50,https://tienda.consum.es/es/p/pimiento-italiano/7106425
2026-05-26,Mushroom,Consum,5.00,https://tienda.consum.es/es/p/champinon-entero-bandeja/7382344
2026-05-26,Cauliflower,Consum,2.20,https://tienda.consum.es/es/p/coliflor-granel/7353840
2026-05-26,Spinach,Consum,4.33,https://tienda.consum.es/es/p/espinacas-bolsa/7054273
2026-05-26,Green beans,Consum,3.93,https://tienda.consum.es/es/p/judia-plana-bandeja/7380009
2026-05-26,Eggplant,Consum,2.20,https://tienda.consum.es/es/p/berenjena-negra/5526686
2026-05-26,Banana,Consum,1.25,https://tienda.consum.es/es/p/banana/7243525
2026-05-26,Apple,Consum,2.20,https://tienda.consum.es/es/p/manzana-golden/11155
2026-05-26,Kiwi,Consum,3.49,https://tienda.consum.es/es/p/kiwi/1934918
2026-05-26,Orange,Consum,1.95,https://tienda.consum.es/es/p/naranja/7149755
2026-05-26,Avocado,Consum,5.00,https://tienda.consum.es/es/p/aguacate-premadurado/53017
2026-05-26,Almonds,Consum,10.15,https://tienda.consum.es/es/p/almendra-cascara-blanda-cruda-granel/7300671
2026-05-26,Walnuts,Consum,6.17,https://tienda.consum.es/es/p/nuez-cascara-bolsa/7164510
2026-05-26,Hazelnuts,Consum,24.95,https://tienda.consum.es/es/p/avellana-natural-piel-doypack/7368111
2026-05-26,Pork loin,Consum,6.35,https://tienda.consum.es/es/p/cabeza-de-lomo-origen-espana/993381
2026-05-26,Chicken breast,Consum,6.95,https://tienda.consum.es/es/p/pechuga-de-pollo/140814
2026-05-26,Chicken thigh,Consum,4.05,https://tienda.consum.es/es/p/muslitos-de-pollo/220707
2026-05-26,Plain natural yogurt,Consum,1.50,https://tienda.consum.es/es/p/yogur-natural-pack-de-4-unidades/7340888
2026-05-26,Eggs (up to 12),Consum,3.00,https://tienda.consum.es/es/p/huevos-m-medianos-docena/7098382
2026-05-26,Brown rice,Bonpreu Esclat,1.65,https://www.compraonline.bonpreuesclat.cat/products/32cd0177-ba46-42e3-b524-9131fe70a667/details
2026-05-26,Dried lentils,Bonpreu Esclat,1.65,https://www.compraonline.bonpreuesclat.cat/products/4bef14b7-876d-4d23-9b4f-bdf30c403427/details
2026-05-26,Cooked chickpeas,Bonpreu Esclat,2.13,https://www.compraonline.bonpreuesclat.cat/products/5ced22d2-3f2e-4a88-9d93-235c6789fc1f/details
2026-05-26,Dried white beans,Bonpreu Esclat,2.45,https://www.compraonline.bonpreuesclat.cat/products/9c8cc3e0-4765-431e-8e2d-f4fd30e047b0/details
2026-05-26,Potato,Bonpreu Esclat,1.24,https://www.compraonline.bonpreuesclat.cat/products/37c8af14-70fa-4782-b522-e8e6273426e4/details
2026-05-26,Sweet potato,Bonpreu Esclat,2.69,https://www.compraonline.bonpreuesclat.cat/products/6ea31eea-7009-4cda-bdf2-b419f303216c/details
2026-05-26,Onion,Bonpreu Esclat,1.49,https://www.compraonline.bonpreuesclat.cat/products/18a9ef95-81e7-4939-95b0-5dccf9f08fd0/details
2026-05-26,Carrot,Bonpreu Esclat,1.35,https://www.compraonline.bonpreuesclat.cat/products/7e66fc0b-6a4a-4d25-b678-ad79900639b4/details
2026-05-26,Bell pepper,Bonpreu Esclat,2.69,https://www.compraonline.bonpreuesclat.cat/products/47ff51ee-b482-4513-9f2c-6bd3c5bb1acf/details
2026-05-26,Mushroom,Bonpreu Esclat,5.16,https://www.compraonline.bonpreuesclat.cat/products/0448cb87-b121-4d68-9ddc-88e30f3b5a93/details
2026-05-26,Cauliflower,Bonpreu Esclat,3.98,https://www.compraonline.bonpreuesclat.cat/products/9bb4f413-03f7-4f33-8bc9-d5274c87c62d/details
2026-05-26,Spinach,Bonpreu Esclat,4.30,https://www.compraonline.bonpreuesclat.cat/products/96dcb8b2-5414-4534-abe3-1440e9696694/details
2026-05-26,Green beans,Bonpreu Esclat,6.99,https://www.compraonline.bonpreuesclat.cat/products/99696e00-0af2-4002-93fc-971bad2ee0ed/details
